中文单位名,英文单位名
,"Department of Physics, Sri Vari College of Education, Then Arasampattu, Tiruvannamalai"
,"Department of Physics, Taiyuan College, Taiyuan, 030032, China
;"
,"Department of Physics, Thainguyen University of Education, No. 20, Luong Ngoc Quyen, Thainguyen"
,"Department of Physics, University of Pretoria, Pretoria"
,"Department of Physics, Zhejiang Science and Technology University, Hangzhou, China ;"
,"Department of Physics, Zhejiang Science and Technology University, Hangzhou, China ;"
,"Department of Physiology, Medical College, Ji-nan University, Guangzhou, China ;"
,"Department of Physiology, Shaoyang Medical College, Shaoyang 422000, Hunan Province, China
;"
,"Department of Postal Communication Management ,  Shi Jiazhuang Post and Telecommunication Technical College, Shijiazhuang"
,"Department of Power and Mechanical Engineering, University of Wuhan, Wuhan, Hubei 430072, China
;"
,"Department of Power Engineering, Rocket Engineering University, Xi'an, China;"
,"Department of Preparatory Education ,  Huai Hua University, Huaihua"
,"Department of Production Engg. and Ind. Mgmt., College of Engineering, Pune,"
,"Department of Psychiatry, Huashan Hospital, Furiati University, Shanghai, China ;"
,"Department of Psychiatry, Second Affiliated Hospital, Xinxiang Medical College, Xinxiang, China ;"
,"Department of Psychology, Institute for Research in Cognition Science, University of Pennsylvania ;"
,"Department of Psychology, Otterbein University ;"
,"Department of Psychology, University of Illinois at Urbana-Champaign ;"
,"Department of Psychology, University of Warwick ;"
,"Department of Pure Mathematics, Ferdowsi University of Mashhad, P. O. Box 1159, Mashhad"
,"Department of Radiology, Affiliated Hospital of Hangzhou, Normal University, Hangzhou, China ;"
,"Department of Radiology, First Affiliated Hospital, Medical College, Hangzhou, China ;"
,"Department of Radiology, Second Affiliated Hospital, Southeastern University, Nanjing 210003, China ;"
,"Department of Range and Watershed Management, Department of Water Engineering and Environment, Faculty of Natural Resources, University of Guilan, Sowmeh Sara"
,"Department of Recovery Medicine, the First Affiliated Hospital of Xinxiang Medical College, Xinxiang, China
;"
,"Department of Rehabilitation Therapy, School of International Medical Technology, Shanghai Sanda University, Shanghai, 201209, China
;"
,"Department of Rehabilitation, Shinshu University Hospital, 3-1-1 Asahi, Matsumoto-shi, Nagano, 390-8621 ;"
,"Department of Renewable Energy, Institute of Regional Innovation (IRI), Hirosaki University, 2-1-3 Matsubara, Aomori"
,"Department of Respiratory Disease, Second Affiliated Hospital, Shanxi College of Traditional Chinese Medicine, Xianyang, 712000, China ;"
,"Department of Respiratory Medicine, First People's Hospital of Huaihua, Affiliated to Hunan Medicine College, Huaihua, China ;"
,"Department of Respiratory Medicine, The First Affiliated Hospital, College of Medicine, Hangzhou, 310003, China
;"
,"Department of Rheumatism, Yan’an University Affiliated Hospital, Yan'an, 716000, China
;"
,"Department of Rheumatology, The First Affiliated Hospital, Xin Jiang Medical University, China ;"
,"Department of Road and Bridge Engineering, Shanxi Conservancy Technical College, Yuncheng, Shanxi, China ;"
,"Department of Road and Bridge, Zhejiang Highway Technicians College, Hangzhou, 310023, China
;"
,"Department of Rural Engineering, Universidad Politecnica de Madrid (UPM), Madrid"
,"Department of Science and Engineering, Aoyama Gakuin University, Sagamihara"
,"Department of Science and Engineering, Chongqing College of Humanities Science and Technology, Chongqing, China
;"
,"Department of Science and Technology, Huazhong University, Wuhan, China
;"
,"Department of Science and Water Engineering, Faculty of Agriculture, University of Tabriz, Tabriz"
,"Department of Software Engineering, Nantong Polytechnic College, Nantong, Jiangsu 226002, China
;"
,"Department of Software Science, Faculty of Information Technology, Tallinn University of Technology, Akadeemia tee 15 a, Tallinn"
,"Department of Soil Sciences, College of Food and Agriculture Sciences, King Saud University, Riyadh"
,"Department of Sports Rehabilitation, School of Sports Sciences, Shanghai Sports University, Shanghai, 200438, China
;"
,"Department of Statistical Sciences, Cornell University
;"
,"Department of Stud., Chongqing Nanfang Translators College of SISU, Chongqing"
,"Department of Survey Engineering, Heilongjiang Institute, Technology College, Harbin, China
;"
,"Department of Surveying and Planning Shangqiu Normal University, Shangqiu"
,"Department of Sustainable Technology and the Built Environment, Appalachian State University, Katherine Harper Hall, 397 Rivers Street, Boone"
,"Department of Systems and Communication, Blumenau Regional University Foundation (FURB), Blumenau"
,"Department of Systems Design, Faculty of Science and Engineering, Doshisha University, 1-3 Miyakodani Tatara, Kyotanabe"
,"Department of Systems Engineering and Automatic Control, University of Valladolid, Valladolid"
,"Department of Teaching and Practicing, Guilin University of Electrical Technology, Guilin, China ;"
,"Department of Teaching, Zhengzhou Huaxin University, Xinzheng 451100, China ;"
,"Department of Technical Mechanics, University of Architecture, Civil Engineering and Geodesy, 1 Chr. Smirnensky blvd., Sofia"
,"Department of Technology Systems, Section for Energy Systems, University of Oslo, Kjeller"
,"Department of Telematics Engineering, University of Vigo, Vigo"
,"Department of Textile Engineering and Management, BGMEA University of Fashion and Technology, Nishatnagar, Dhour, Dhaka"
,"Department of Textile Engineering, Ahsanullah University of Science and Technology, 141-142 Love Rd., Dhaka"
,"Department of Textile Institute, Donghiui University, China ;"
,"Department of the Reproductive Center, Foshan Hospital Affiliated to Sun Yat-san University, The First People's Hospital of Foshan, Foshan, Guangdong, China ;"
,"Department of the Tibetan Language, Sichuan University of Nationalities, Kangding, China ;"
,"Department of Theoretical and Applied Science, University of Insubria, Varese"
,"Department of Thermodynamics, Ruhr-Universit?t Bochum, Bochum"
,"Department of Training Management, Naval Command College, No. 35 of Zhongshan Rd, Nanjing"
,"Department of Training, Logistical University, Chongqing, China ;"
,"Department of Training, National Defence College of Information, Wuhan, China ;"
,"Department of Transportation and Communication Management Science, National Cheng Kung University, China ;"
,"Department of Transportation Engineering, Hebei Engineering and Technical College, Cangzhou, Hebei, China ;"
,"Department of Transportation Management, China People's Public Security University, Beijing, China ;"
,"Department of UAV, Ordance Engineering College, Shijiazhuang, China ;"
,"Department of Ultrasonography, Taihe Hospital, Affiliated Hospital of Hubei University of Medicine, Shiyan, 442000, China
;"
,"Department of Urban-Rural Development and Management Engineering Science, Shangluo College, Shangluo, China ;"
,"Department of Urolgoy, Affiliated Hospital of Jianghan University, Wuhan, China ;"
,"Department of Urology Fudan, University Shanghai Cancer Center, Shanghai, China
;"
,"Department of Urology Surgery, Affiliated Hospital of North China University, Tangshan, 063000, China
;"
,"Department of Urology, Affiliated Hospital of Jianghan University, Wuhan, China
;"
,"Department of Urology, First Affiliated Hospital, Zhen Zhou University, Zhen Zhou, China
;"
,"Department of Urology, First Affliated Hospital of Guang Xi Medical University, NanNing, China
;"
,"Department of Urology, Huzhou First People's Hospital Affiliated to Huzhou Normal College, Huzhou, China ;"
,"Department of Vehicles and Electrical Engineering, Ordancel Engineering College, Shijiazhuang 050003, China ;"
,"Department of Vehicles and Electrical, Ordancel Engineering College, Shijiazhuang Hebei 050003, China ;"
,"Department of Water Conservancy Engineering, Tianjin Agriculture University, Tianjin, 300384, China
;"
,"Department of weapons engineering, Naval University of Engineering, Wuhan"
,"Departments of Emergency Medicine, Chung Shan Medical University Hospital, China
;"
,"Departments of Gynecology and Obstetrics, First Affiliated Hospital, Institute of Pathogenic Biology, Medical College, Hunan Provincial Key Laboratory for Special Pathogens Prevention and Control, Hengyang 421001, China ;"
,"Departments of Psychology and Communication Sciences and Disorders, University of Wisconsin–Madison ;"
,"Departnent of Thermal Engineering, Tsingnua university, Beijing, China ;"
,"Deparunent of histology and Embryology, Dali Univeriity, Yiuznan Dali, China ;"
,"Depatment of Agronomy, University of Agriculture, Faisalabad"
,"Depatment of Anesthesiology, Medical College of Nanjing University Nanjing General Hospital of Nanjing Military Command, Nanjing 210002, China. Email: dml9001@163.com ;"
,"Dept Chem, Sardar Patel Univ, Vallabh Vidyanagar-388 120Gujarat, *, *, *
;"
,"Dept Educ Xinjiang Uygur Autonomous Reg, Key Lab Ecol & Biol Resources Yarkand Oasis Coll, Kashgar 844000, Peoples R China
;"
,"Dept Hebei Coll Chinese Med, Shijiazhuang, Hebei, Peoples R China
;"
,"Dept Nanchang Hangkong Univ, Aircraft Engn Inst, Nanchang 330063, Peoples R China"
,"Dept of Info and Automation, Xi’an Univ. of Arch.＆Tech., HuaQing College, Xi’an, 710043, China
;"
,"Dept. Area of Electrical Eng., Universidad de León, School of Energy and Mining Engineers, Campus de Vegazana s/n, León"
,"Dept. of Applied Biochemistry, Faculty of Agriculture, Saga University, 1 Honjo-machi, Saga"
,"Dept. of Architecture, Zhejiang Tongji Sci. and Technol. Univ., Hangzhou, China ;"
,"Dept. of Basic Courses, Anhui Technical College of Mechanical and Electrical Eng., Wuhu, China ;"
,"Dept. of Biological and Environmental Engineering, Cornell Univ., 111 Wing Dr., Ithaca"
,"Dept. of Civil and Environmental Engineering, Univ. of Illinois at Urbana-Champaign, MC-250, 205 N Mathews Ave., Urbana"
,"Dept. of Civil and Environmental Engineering, Univ. of Maryland, College Park"
,"Dept. of Civil Engineering, University of Memphis, Memphis"
,"Dept. of Civil Engineering, Xiamen Univ., Xiamen, Fujian 361005, China ;"
,"Dept. of Civil, Architectural and Environmental Engineering, Drexel Univ., 3141 Chestnut St., Philadelphia"
,"Dept. of Civil, Environmental, and Geo-Engineering, St. Anthony Falls Laboratory, Univ. of Minnesota, 2 SE 3rd Ave., Minneapolis"
,"Dept. of Computer and Electronic Information, Shaanxi Xueqian Normal Univ., Xi'an, 710100, China
;"
,"Dept. of Ecology and Evolutionary Biology, Univ. of Toronto, Toronto"
,"Dept. of Electrical and Electronics Eng., Baoji Univ. of Arts and Sciences, Baoji 721013, China ;"
,"Dept. of Electronic Engineering, National Kaohsiung University of Applied Sciences ;"
,"Dept. of Electronics Engineering and Information Science, Univ. of Science and Technology of China, Hefei 230027, China ;"
,"Dept. of Environmental Engineering, Democritus University of Thrace, Xanthi"
,"Dept. of Food and Environment Engineering, East University, Harbin, China ;"
,"Dept. of Geographical Sciences, Univ. of Maryland, College Park"
,"Dept. of Industrial Engineering, University of Florence, Viale Morgagni, 40, Firenze"
,"Dept. of Industrial Engineering, University of Salerno, via Giovanni Paolo II, Fisciano"
,"Dept. of Informatics, University of Piraeus, Piraeus"
,"Dept. of Manufacturing Engineering, Universidad Nacional de Educación A Distancia (UNED), C/ Juan del Rosal 12, Madrid"
,"Dept. of Materials Science and Engineering, Xiamen Univ., Xiamen, Fujian 361005, China ;"
,"Dept. of Mechanical and Electrical Engineering, Xiamen Univ., Xiamen, China
;"
,"Dept. of Mechanical and Electrical Engineering, Xiamen Univ., Xiamen, China
;"
,"Dept. of Mechanical Eng., Guilin Univ. of Aerospace Technol., Guilin, China ;"
,"Dept. of Mechanical Engineering, Oxford College of Engineering, Bangalore"
,"Dept. of Mechanical Manufacturing and Automation, Ji Lin University, Chang Chun, 130025, China
;"
,"Dept. of Reconnaissance & Early Warning, Air Defense College, Zhengzhou, China ;"
,"Dept. of Refrigeration and Air-Conditioning Engineering, Chonnam National University, 50 daehak-ro, Yeosu"
,"Dept. of Refrigeration and Air-Conditioning Engineering, Chonnam National University, 50 daehak-ro, Yeosu"
,"Design and Analysis of Communication Systems, University of Twente, Enschede"
,"Design and Art Institute ,  Hunan University of Commerce, Changsha, Hunan"
,"Dezhou Coll, Biol Dept, Dezhou 253023, Peoples R China"
,"Dezhou Coll, Dezhou 253023, Shandong, Peoples R China"
,"Dezhou College, School of Mechancial Engineering, Dezhou, China ;"
,"DIAEE, Sapienza Università di Roma, via Eudossiana 18, Rome"
,"DianJi Univ, Elect Sch, Ganlan Rd 1350, Shanghai 201306, Peoples R China
;"
,"Dianji Univ, Elect Sch, Shanghai 201306, Peoples R China
;"
,"Dianxi Sci & Technol Normal Univ, Dept Phys & Math, Lincang 677000, Peoples R China
;"
,"Dianxi Sci & Technol Normal Univ, Sch Biotechnol & Engn, Lincang 677000, Peoples R China
;"
,"Dianxi Sci & Technol Normal Univ, Sch Math & Phys, Lincang 677000, Peoples R China
;"
,"Dianxi Univ Appl Technol, Gemmol Inst, Tengchong 679100, Peoples R China
;"
,"DiBT Department, Engineering Division, University of Molise, Via De Sanctis snc, Campobasso CB"
,"DICCA - Department of Civil, Chemical and Environmental Engineering, Polytechnic School, Genoa University, via Opera Pia 15, Genova"
,"DICMaPI, Università Degli Studi di Napoli Federico II, Piazzale V. Tecchio 80, Napoli"
,"DICMaPI, Università Degli Studi di Napoli Federico II, Piazzale V. Tecchio 80, Napoli"
,"DIIES, University Mediterranea of Reggio Calabria, Via Graziella, Loc. Feo di Vito, Reggio Calabria"
,"DIISM Department, Università Politecnica Delle Marche, Via Brecce Bianche, Ancona"
,"DIME, Università Degli Studi di Genova, via Opera Pia 15, Genova"
,"Dingxi Teachers Coll, Dept Math, Dingxi 743000, Peoples R China"
,"Dingxi Teachers Coll, Dept Phys, Dingxi 743000, Gansu, Peoples R China"
,"Dingxi Teachers Coll, Dingxi 743000, Peoples R China"
,"Dingxi Teachers' College, Dingxi, China;"
,"Dining Med Univ, Sch Pharm, Jining 272000, Peoples R China
;"
,"Dipartimento di Elettronica, Politecnico di Milano, Informazione e Bioingegneria and Italian Universities Nanoelectronics Team, Milan"
,"Dipartimento di Ingegneria dell'Informazione, Università degli Studi di Padova, via Gradenigo 6/b, Padova"
,"Dipartimento di Ingegneria e Architettura, Università degli Studi di Parma, Parco Area delle Scienze 181/a, Parma"
,"Dipartimento di Ingegneria e Architettura, Università di Parma, Parco Area delle Scienze, 181/A, Parma"
,"Dipartimento di Ingegneria Industrial, Universita degli Studi di Padova, Padova;"
,"Dipartimento di Ingegneria Industriale e Scienze Matematiche, Università Politecnica delle Marche, Via Brecce Bianche 1, Ancona"
,"Dipartimento di Matematica ?Tullio Levi-Civita?, Università di Padova, Via Trieste, 63, Padova"
,"Dipartimento Politecnico di Ingegneria e Architettura, Università degli Studi di Udine, via delle Scienze 208, Udine"
,"Division of Animal and Nutritional Sciences, West Virginia University, Morgantown, West Virginia;"
,"Division of Anticipatory Molecular Food Science and Technology, Kanazawa Medical University, Uchinada, Ishikawa, 920-0293 ;"
,"Division of Computer Electrical Mathematics Science and Engineering, King Abdullah University of Science and Technology, Thuwal"
,"Division of Energy Science, Lule? University of Technology, Universitetsomr?det Pors?n, Lule?"
,"Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Doha"
,"Division of Internet and Multimedia Engineering, Konkuk University;"
,"Division of Nanotechnolgy and Functional Materials, Uppsala University, Uppsala"
,"Division of Plant and Soil Sciences, West Virginia University, Morgantown, West Virginia;"
,"Division of Pulmonary, Critical Care, Sleep, and Allergy, Department of Medicine, University of Illinois at Chicago, Chicago, Illinois ;"
,"Division of Structural Engineering, College of Engineering Guindy, Anna University, Chennai, China;"
,"Doctoral Program of Public Health, Faculty of Public Health, Airlangga University
;"
,"Dong Bei Univ Finance & Econ, Sch Business Adm, Dalian 116023, Liaoning, Peoples R China
;"
,"Dong Fen Hospital, Hu Bei University of Medicine, Hubei 442000, China
;"
,"Dongan Univ, Dept Hepatopancreatobiliary Surg, Cent Hosp Xuzhou, Zhenjiang, Jiangsu, Peoples R China
;"
,"Dongchang Coll, Dept Biol & Chem, Liaocheng 252000, Peoples R China
;"
,"Dongfang College Zhejiang, Unversity of Finance and Economics, Hangzhou, China
;"
,"Dongguan City Coll, Coll Sci & Technol, Dept City & Environm Sci, Dongguan 523000, Peoples R China"
,"Dongguan City Coll, Coll Sci & Technol, Dept City & Environm Sci, Dongguan 523419, Peoples R China
;"
,"Dongguan City Coll, Coll Sci & Technol, Dept City & Environm Sci, Dongguan 523419, Peoples R China
;"
,"Dongguan Polytech Coll, Dept Mech & Elect Engn, Dongguan 523808, Peoples R China
;"
,"Dongguan South China Design Innovat Inst, Univ Innovat City Area, Bldg D-1, Songshan Lake 523808, Dongguan, Peoples R China
;"
,"Dongguan Tech Coll, Dongguan, Peoples R China
;"
,"Dongguan Univ Technol DGUT, Sch Mech Engn, Dongguan, Guangdong, Peoples R China
;"
,"Dongguan Univ Technol DGUT, Sch Mech Engn, Dongguan, Guangdong, Peoples R China
;"
,"Dongguan Univ Techonol, Nuetron Scattering Techon Engn Res Ctr, Dongguan, Guangdong, Peoples R China"
,"Dongguan Univ Techonol, Sch Elect Engn, 1 DaXue Rd, Dongguan 523808, Guangdong, Peoples R China"
,"Dongguan Univ Techonol, Sch Elect Engn, DaXue Rd, Dongguan 523808, Peoples R China"
,"Dongguatt Univ Technol, Res Ctr Ecoenvironm Engn, Dongguan 523808, Peoples R China
;"
,"Dongguk Univ, Coll Med, Channelopathy Res Ctr, Goyang 410773, Peoples R China"
,"Dongguk Univ, Coll Med, Dept Physiol, Gyeongiu 38067, Peoples R China
;"
,"Dongguk Univ, Coll Oriental Med, Dept Physiol, Gyeongju, Peoples R China"
,"Dongguk Univ, Dept Med Biotechnol, 21 Dongguk Ro, Goyang Si, Gyeonggi Do, Peoples R China"
,"Donghua Engn Univ, Coll Chem Chem Engn & Biotechnol, Shanghai 201620, Peoples R China
;"
,"Donghua Sci & Univ, Coll Text, Key Lab Text Technol, Minist Educ, Shanghai 201620, Peoples R China
;"
,"Donglma Univ, Coll Sci, Shanghai 201620, Peoples R China
;"
,"Dongluta Univ, Coll Mech Engn, Shanghai 201620, Peoples R China
;"
,"Dongsuan Univ Technol, Sch Environm & Civil Engn, Dongguan 523808, Guangdong, Peoples R China
;"
,"Dongua Univ, Dept English Language Teaching, Shanghai, Peoples R China"
,"Dorighua Univ, Coll Text, Shanghai 201620, Peoples R China
;"
,"Dpt. of Systems Engineering and Automatic Control, Escuela de Ingenierias Industriales, Sede Mergelina, Universidad de Valladolid, C/Real de Burgos, s/n, Valladolid"
,"Drake Univ, Law Polit & Soc, *, *, *"
,"DST, FIST, Sponsored Electronics and Communication Engineering Department, K L University, Andhra Pradesh"
,"Dublin City University Business School [email protected] ) and a Strategy & Leadership contributing editor
;"
,"Duke Univ, *, *, *"
,"Duke Univ, Duke Global Hlth Inst, Kunshan, Peoples R China
;"
,"Duke Univ, Global Hlth Inst, Kunshan, Peoples R China
;"
,"Duke Univ, Global Hlth Inst, Shanghai, Peoples R China
;"
,"Duke Univ, Nicholas Sch Environm, 8 Duke Ave, Kunshan 215316, Jiangsu, Peoples R China
;"
,"Duke University
;"
,"Dunarea de Jos University of Galati, 47 Domnesca Str., Galati"
,"Duy Tan Univ, Inst Res & Dev, Quang Trung 03, Da Nang, Peoples R China
;"
,"Dynamical Systems and Control Research Group, Department of Electrical Energy, Metals, Mechanical Constructions, and Systems, Ghent University, Ghent"
,"Eaestern Liaoning Univ, Dandong 118003, Liaoning, Peoples R China"
,"Eaestern Liaoning Univ, Dandong 118003, Liaoning, Peoples R China"
,"East Campus Lishui University, China
;"
,"East China Jaotong Univ, Sch Elect & Elect Engn, Nanchang 330013, Jiangxi, Peoples R China"
,"East China Noma Univ, Dept Geog, Shanghai 200062, Peoples R China
;"
,"East China Noma Univ, Phys Dept, Shanghai 200062, Peoples R China
;"
,"East China Noma Univ, Sch Phys & Mat Sci, Shanghai Key Lab Magnet Resonance, Shanghai 200062, Peoples R China
;"
,"East China Noma Univ, Shanghai Key Lab Magnet Resonance, Shanghai 200062, Peoples R China
;"
,"East China Nonnal Univ, Sch Phys & Mat Sci, Shanghai 200241, Peoples R China
;"
,"East China Univ Sci & Thchonl, Minist Educ, Key Lab Coal Gasificat & Energy Chem Engn, Shanghai 200237, Peoples R China
;"
,"East China Univ Sci & Thchonl, Shanghai Engn Reaearch Ctr Coal Gasificat, Shanghai 200237, Peoples R China
;"
,"East China Univ Technol & Sci, Sch Business, Shanghai 200237, Peoples R China
;"
,"East Chinese Pedag Univ, Shanghai, Peoples R China
;"
,"East Coll Heilongjiang, Construct Engn Dept, Harbin, Heilongjiang, Peoples R China
;"
,"East Kazakhstan State Technical University named after D. Serikbayev
;"
,Eastern Illinois University;
,"Eastern Liaodong Univ, Coll Med, Mol Med Lab, Pathol Dept, Dandong, Liaoning, Peoples R China
;"
,"Eastern Liaodong Univ, Dandong 118001, Peoples R China
;"
,"EBay United Univ, Coll Informat Engn, Tangshan, Hubei, Peoples R China"
,"Ecol Ocean Univ China, Minist Educ, Key Lab Marine Environm & Ecol, Qingdao 266100, Peoples R China
;"
,"Ecology Department, Environmental Management College of China, Qinhuangdao, China
;"
,"E-Commerce Intelligence of Engineering Research Center of University of Fujian Province Based on Cloud Computing and Internet of Things, Quanzhou, Fujian 362000, China
;"
,"Econ & Business Management Coll, Tianjin 300050, Peoples R China"
,"Economic Information Department, Shanxi Finance and Taxation College, Shanxi, China
;"
,"Economic Operation and Dynamic Simulation Key Laboratory of Shandong Colleges and Universities, Jinan, 250014, China
;"
,"Economics and Management Academy, Shangluo College, Shangluo, China ;"
,"Economics and Management Engineering Department, Zhejiang Water Conservancy and Hydropower College, Hangzhou, 310018, China
;"
,"Economics and Management School, Chuxiong Normal University, Chuxiong"
,"ECUST Univ, Shanghai 200237, Peoples R China
;"
,"Edible and Medicinal Fungi Research and Development Center of Hebei Universities and Colleges, Langfang, China ;"
,"Editorial Board of Journal of Jilin University (Information and Science Edition), Changchun 130012, China ;"
,"Educ Minist, Key Lab Luminescent & Real Time Analyt Chem, Coll Chem & Chem Engn, Chongqing 400715, Peoples R China
;"
,"Education section of Xinjiang University, Urumqi, 830046, China
;"
,"Educational Technology Center, Lang Fang Teachers University, Langfang"
,"Eeifang Univ Nationalities, Lnnovat Venturing Educ Ctr, Yinchuan 750021, Peoples R China"
,"EEMG, University of Bristol, Bristol"
,"Elect Power Univ North China, Dept Math & Phys, Baoding, Peoples R China"
,"Elect Power Univ, Dept Econ & Management, Beijing 100000, Peoples R China
;"
,"Elect Power Univ, Suzhou Res Acad North China, Lab Environm Remediat & Funct Mat, Suzhou 215213, Jiangsu, Peoples R China
;"
,"Electric Power Engineering Department of Changsha Electric Power Technical College, Changsha 410131, China ;"
,"Electrical & Information Engineering School, Hunan University of Arts & Science, Changde, China ;"
,"Electrical and Computer Engineering Department, University of Central Florida, Orlando"
,"Electrical and Computer Engineering, University of Connecticut, Storrs"
,"Electrical and Computer Engineering, University of Waterloo, Waterloo"
,"Electrical Engineering & Automation Department of Guilin University of Electronic and Technology, Guilin, Guangxi 541004, China
;"
,"Electrical engineering college, Tongling College, Tongling, 244000, China
;"
,"Electrical Engineering Department - DEE, Federal University of Campina Grande - UFCG, Campina Grande - PB"
,"Electrical Engineering Department, Amirkabir University of Technology, Tehran"
,"Electrical Engineering Department, Faculty of Technology, Mohamed Boudiaf University, Route BBA, Msila"
,"Electrical Engineering Department, Sharif University of Technology, Tehran"
,"Electrical Engineering Department, Universidad de Concepción, Concepción"
,"Electrical Engineering Department, Zhejiang University of Water Conservancy and Electric Power, Hangzhou, China ;"
,"Electrical Engineering School, North East Dianli University, Jilin 132012, Jilin Province, China ;"
,"Electrical Engineering School, Tongling University, Anhui"
,"Electrical Engineering, Graduate School, Southeast Asia University, Bangkok"
,"Electrical Engineering, Graduate School, Southeast Asia University, Bangkok"
,"Electrical Power and Machines Departement, Faculty of Engineering, Zagazig University, Zagazig"
,"Electrical Power and Machines Department, Faculty of Engineering, Zagazig University, Zagazig"
,"Electro Mechanic Engineering College ,  Hainan University, Haikou, Hainan"
,"Electro Mechanic Engineering College ,  Hainan University, Haikou, Hainan"
,"Electro-mechanical College of Shandong Management University, Jinan, Shandong, 250357, China
;"
,"Electronic and Electrical Engineering College, Chongqing Academy of Arts and Sciences, Chongqing, China ;"
,"Electronic and Electrical Engineering, Strathclyde University, Glasgow"
,"Electronic and Information College of Shaanxi Institute of Technology, Xi'an, Shaanxi 710300, China ;"
,"Electronic and Information School of Yan'an University, Yan'an, China ;"
,"Electronic Commerce Technology University Engineering Center in Fujian Province, Sanming, China;"
,"Electronic Engineering School of University of Electronic Science and Technology of China, Chengdu, Sichuan, China ;"
,"Electronic Information Engineering College, Heibei University, Baoding, 071000, China
;"
,"Electronic Technology Department, Engineering University of APF, Xi'an, 710086, China
;"
,"Electronical Engineering College, Northest Electric Power University, Jilin, 132012, China
;"
,"Electronics and Communication College, Shenzhen Institute of Information Technology, Shenzhen, China ;"
,"Electronics and Communication College, Shenzhen Institute of Information Technology, Shenzhen, China;"
,"Electronics and Communications Engineering Department, Gokongwei College of Engineering, De La Salle University - Laguna Campus, LTI Spine Road, Laguna Blvd, Bi?an"
,"Electronics and Information Engineering Department, Bozhou Univ., Bozhou, 236800, China
;"
,"Electronics and Tele-Communication Engineering, Jadavpur University, Kolkata"
,"Electronics Communications and Computers Deparment, Helwan University, Helwan"
,"Electronics Department, Tallinn University of Technology, Tallinn"
,"Electronics Engineering Department, Malayan Colleges Laguna, Pulo Diezmo Road, Cabuyao City"
,"Emergency Department, The Fourth People’s Hospital of Ji’nan, Medical School, Tai Shan Medical College, China ;"
,Emerita Professor of Criminology Keele University ;
,"Energy and Power Engineering Institute Inner Mongol University of Technology, Hohhot, China ;"
,"Energy Conservation and Renewable Energy Group, School of Engineering, RMIT University, Bundoora"
,"Energy Engineering, Division of Energy Science, Lulea University of Technology, Lulea"
,"Energy Plant Technology, Ruhr-Universit?t Bochum, Bochum"
,"Energy Research Unit, Department of Physics, Faculty of Science, Mahasarakham University, Khamriang, Kantarawichai, Mahasarakham"
,"Energy School, China Geological University, Beijing, 100083, China
;"
,"Energy Science and Engineering School, Harbin Industry University, Harbin, China ;"
,"Energy Technology for Environment Research Center, Faculty of Engineering, Chiang Mai University, Chiang Mai"
,"ENET Centre-Energy Units for Utilization of Non-traditional Energy Sources, VSB-Technical University of Ostrava, 17. listopadu 15, Ostrava"
,"Eng. Research Center of Mechanical Testing Technological and Equipment of Ministry of Education, Chongqing Univ. of Technol., Chongqing, China ;"
,"Engineer Command Coll, Xuzhou 221004, Jiangsu, Peoples R China
;"
,"Engineer Corps Coll, Xuzhou 221004, Peoples R China
;"
,"Engineering and Industrial Production Program, Universitat Politecnica de Valencia, Camí de Vera s/n, Valencia"
,"Engineering and Research Center for Industrial Biogas Technology of Yunnan Province University, Kunming, Yunnan, China;"
,"Engineering and Technology Research Center for Chinese Materia Medica, Quality of Universities of Guangdong Province, Guangzhou, China;"
,"Engineering Center of Inner Monglia University of Science and Technology, Baotou, 014010, China
;"
,"Engineering College ,  Wuhan Technology and Business University, Wuhan"
,"Engineering College, Fujian Jiangxia Institute, Fuzhou, 350108, China
;"
,"Engineering college, Fujian Jiangxia University, Fuzhou"
,"Engineering Department, Public University of Navarre, Pamplona"
,"Engineering Laboratory on Polymeric Waveguide Components of Optics Communications of Jilin Province, State Key Laboratory of Integrated Optoelectronics, College of Electronic Science and Engineering, Changchun, 130012, China
;"
,"Engineering of Mechanical Engineering, University of Science and Technology of Anhui, Fengyang, Anhui, 233100, China
;"
,"Engineering Research Center for Coal Gasification in Shanghai, East China Universityof Science and Technology, Shanghai, 200237, China
;"
,"Engineering Research Center for Dyeing and Finishing of Textiles (Zhejiang Sci-Tech University), Ministry of Education, Hangzhou, 310018, China
;"
,"Engineering Research Center for Eco-Dyeing & Finishing of Textiles, Ministry of Education of China, Zhenjiang Sci-Tech University, Hangzhou, China ;"
,"Engineering Research Center for Silicon Metallurgy and Silicon Materials of Yunnan Provincial Universities, Key Laboratory of Nonferrous Metals Vacuum Metallurgy of Yunnan Province, Kunming, Yunnan, China ;"
,"Engineering Research Center of Geological Engineering, Fujian Provincial University, Fuzhou, China;"
,"Engineering Research Center of Green Dyeing and Finishing in Fujian Provincial University, Fuzhou, China;"
,"Engineering Research Center of Textile Chemicals, Dyeing and Finishing of Shandong University of Technology, Zibo 255049, China ;"
,"Engineering school, Yokohama National University, Yokohama"
,"Engineering Structures Disasters and Control Joint Research Centre, Guangzhou University-Tamkang University, Guangzhou, 510006, China
;"
,"Engineering Technology Research Center of Nursing and Utilization of Genuine Chinese Crude Drugs, University of Henan Province, Xinxiang 453007, China ;"
,"Engineering Technology Research Center of Small Watershed Conservancy University of Henan Province, Kaifeng, 475004, China
;"
